nor_countryid,nor_name
c48651e5-5e33-f111-88b4-6045bde02116,AFGHANISTAN
b18651e5-5e33-f111-88b4-6045bde02116,Aland Islands
c58651e5-5e33-f111-88b4-6045bde02116,ALBANIA
c68651e5-5e33-f111-88b4-6045bde02116,ALGERIA
c78651e5-5e33-f111-88b4-6045bde02116,AMERICAN SAMOA
c88651e5-5e33-f111-88b4-6045bde02116,ANDORRA
ca8651e5-5e33-f111-88b4-6045bde02116,ANGOLA
cb8651e5-5e33-f111-88b4-6045bde02116,ANGUILLA
cc8651e5-5e33-f111-88b4-6045bde02116,ANTARCTICA
cd8651e5-5e33-f111-88b4-6045bde02116,ANTIGUA AND BARBUDA
ce8651e5-5e33-f111-88b4-6045bde02116,ARGENTINA
d08651e5-5e33-f111-88b4-6045bde02116,ARMENIA
d18651e5-5e33-f111-88b4-6045bde02116,ARUBA
d48651e5-5e33-f111-88b4-6045bde02116,AUSTRALIA
d78651e5-5e33-f111-88b4-6045bde02116,AUSTRIA
e08651e5-5e33-f111-88b4-6045bde02116,AZERBAIJAN
e48651e5-5e33-f111-88b4-6045bde02116,BAHAMAS
ed8651e5-5e33-f111-88b4-6045bde02116,BAHRAIN
f48651e5-5e33-f111-88b4-6045bde02116,BANGLADESH
f88651e5-5e33-f111-88b4-6045bde02116,BARBADOS
fb8651e5-5e33-f111-88b4-6045bde02116,BELARUS
008751e5-5e33-f111-88b4-6045bde02116,BELGIUM
048751e5-5e33-f111-88b4-6045bde02116,BELIZE
088751e5-5e33-f111-88b4-6045bde02116,BENIN
0c8751e5-5e33-f111-88b4-6045bde02116,BERMUDA
0d8751e5-5e33-f111-88b4-6045bde02116,BHUTAN
148751e5-5e33-f111-88b4-6045bde02116,"BOLIVIA, PLURINATIONAL STATE OF"
1c8751e5-5e33-f111-88b4-6045bde02116,BOSNIA AND HERZEGOVINA
218751e5-5e33-f111-88b4-6045bde02116,BOTSWANA
288751e5-5e33-f111-88b4-6045bde02116,BOUVET ISLAND
2f8751e5-5e33-f111-88b4-6045bde02116,BRAZIL
338751e5-5e33-f111-88b4-6045bde02116,BRITISH INDIAN OCEAN TERRITORY
3a8751e5-5e33-f111-88b4-6045bde02116,BRUNEI DARUSSALAM
488751e5-5e33-f111-88b4-6045bde02116,BULGARIA
4a8751e5-5e33-f111-88b4-6045bde02116,BURKINA FASO
4b8751e5-5e33-f111-88b4-6045bde02116,BURUNDI
4c8751e5-5e33-f111-88b4-6045bde02116,CAMBODIA
4d8751e5-5e33-f111-88b4-6045bde02116,CAMEROON
4e8751e5-5e33-f111-88b4-6045bde02116,CANADA
4f8751e5-5e33-f111-88b4-6045bde02116,CAPE VERDE
508751e5-5e33-f111-88b4-6045bde02116,CAYMAN ISLANDS
518751e5-5e33-f111-88b4-6045bde02116,CENTRAL AFRICAN REPUBLIC
528751e5-5e33-f111-88b4-6045bde02116,CHAD
538751e5-5e33-f111-88b4-6045bde02116,CHILE
548751e5-5e33-f111-88b4-6045bde02116,CHINA
558751e5-5e33-f111-88b4-6045bde02116,CHRISTMAS ISLAND
568751e5-5e33-f111-88b4-6045bde02116,COCOS (KEELING) ISLANDS
578751e5-5e33-f111-88b4-6045bde02116,COLOMBIA
5a8751e5-5e33-f111-88b4-6045bde02116,COMOROS
7a314ceb-5e33-f111-88b4-6045bde02116,CONGO
c5314ceb-5e33-f111-88b4-6045bde02116,"CONGO, THE DEMOCRATIC REPUBLIC OF THE"
bb8651e5-5e33-f111-88b4-6045bde02116,CONGO(DRC)
5b8751e5-5e33-f111-88b4-6045bde02116,COOK ISLANDS
5c8751e5-5e33-f111-88b4-6045bde02116,COSTA RICA
5e8751e5-5e33-f111-88b4-6045bde02116,CÔTE D'IVOIRE
608751e5-5e33-f111-88b4-6045bde02116,CROATIA
618751e5-5e33-f111-88b4-6045bde02116,CUBA
628751e5-5e33-f111-88b4-6045bde02116,CYPRUS
638751e5-5e33-f111-88b4-6045bde02116,CZECH REPUBLIC
648751e5-5e33-f111-88b4-6045bde02116,DENMARK
658751e5-5e33-f111-88b4-6045bde02116,DJIBOUTI
668751e5-5e33-f111-88b4-6045bde02116,DOMINICA
678751e5-5e33-f111-88b4-6045bde02116,DOMINICAN REPUBLIC
698751e5-5e33-f111-88b4-6045bde02116,ECUADOR
6a8751e5-5e33-f111-88b4-6045bde02116,EGYPT
6b8751e5-5e33-f111-88b4-6045bde02116,EL SALVADOR
6c8751e5-5e33-f111-88b4-6045bde02116,EQUATORIAL GUINEA
6d8751e5-5e33-f111-88b4-6045bde02116,ERITREA
6e8751e5-5e33-f111-88b4-6045bde02116,ESTONIA
6f8751e5-5e33-f111-88b4-6045bde02116,ETHIOPIA
718751e5-5e33-f111-88b4-6045bde02116,FALKLAND ISLANDS (MALVINAS)
708751e5-5e33-f111-88b4-6045bde02116,FAROE ISLANDS
728751e5-5e33-f111-88b4-6045bde02116,FIJI
738751e5-5e33-f111-88b4-6045bde02116,FINLAND
748751e5-5e33-f111-88b4-6045bde02116,FRANCE
758751e5-5e33-f111-88b4-6045bde02116,FRANCE METROPOLITAN
768751e5-5e33-f111-88b4-6045bde02116,FRENCH GUIANA
778751e5-5e33-f111-88b4-6045bde02116,FRENCH POLYNESIA
788751e5-5e33-f111-88b4-6045bde02116,FRENCH SOUTHERN TERRITORIES
7a8751e5-5e33-f111-88b4-6045bde02116,GABON
798751e5-5e33-f111-88b4-6045bde02116,GAMBIA
