State,stateid
Aargau,2d85ca54-5f33-f111-88b4-6045bde02116
Aberdeen,c9d9cf4e-5f33-f111-88b4-6045bde02116
Abruzzo,8ecec25a-5f33-f111-88b4-6045bde02116
AFGHANISTAN,05cdc25a-5f33-f111-88b4-6045bde02116
Aguascalientes,3015bb60-5f33-f111-88b4-6045bde02116
Akmola Region,a985ca54-5f33-f111-88b4-6045bde02116
Aktobe Region,aa85ca54-5f33-f111-88b4-6045bde02116
Alabama,d0d9cf4e-5f33-f111-88b4-6045bde02116
Aland Islands,11cdc25a-5f33-f111-88b4-6045bde02116
Alaska,cdd9cf4e-5f33-f111-88b4-6045bde02116
ALBANIA,08cdc25a-5f33-f111-88b4-6045bde02116
Alberta,c8d9cf4e-5f33-f111-88b4-6045bde02116
ALGERIA,59cdc25a-5f33-f111-88b4-6045bde02116
Almaty,b885ca54-5f33-f111-88b4-6045bde02116
Almaty region,ab85ca54-5f33-f111-88b4-6045bde02116
Alsace,ced9cf4e-5f33-f111-88b4-6045bde02116
Amazonas,5c85ca54-5f33-f111-88b4-6045bde02116
AMERICAN SAMOA,0ecdc25a-5f33-f111-88b4-6045bde02116
American Samoa,e0d9cf4e-5f33-f111-88b4-6045bde02116
Andalucia,d2d9cf4e-5f33-f111-88b4-6045bde02116
Andaman & Nicobar Islands,d1d9cf4e-5f33-f111-88b4-6045bde02116
Andhra Pradesh,d5d9cf4e-5f33-f111-88b4-6045bde02116
Andijan Region,c1ccc25a-5f33-f111-88b4-6045bde02116
ANDORRA,03cdc25a-5f33-f111-88b4-6045bde02116
ANGOLA,0bcdc25a-5f33-f111-88b4-6045bde02116
ANGUILLA,07cdc25a-5f33-f111-88b4-6045bde02116
ANGUS,bbcdc25a-5f33-f111-88b4-6045bde02116
Anhui,3885ca54-5f33-f111-88b4-6045bde02116
ANTARCTICA,0ccdc25a-5f33-f111-88b4-6045bde02116
ANTIGUA AND BARBUDA,06cdc25a-5f33-f111-88b4-6045bde02116
Antioquia,5d85ca54-5f33-f111-88b4-6045bde02116
ANTRIM,9fcdc25a-5f33-f111-88b4-6045bde02116
Appenzell Ausserrhoden,2785ca54-5f33-f111-88b4-6045bde02116
Appenzell Innerrhoden,2985ca54-5f33-f111-88b4-6045bde02116
Apulia,f2ccc25a-5f33-f111-88b4-6045bde02116
Aquitaine,d8d9cf4e-5f33-f111-88b4-6045bde02116
Aragon,ded9cf4e-5f33-f111-88b4-6045bde02116
Arauca,5e85ca54-5f33-f111-88b4-6045bde02116
ARGENTINA,0dcdc25a-5f33-f111-88b4-6045bde02116
ARGYLL & BUTE,89cdc25a-5f33-f111-88b4-6045bde02116
Arizona,e5d9cf4e-5f33-f111-88b4-6045bde02116
Arkansas,dbd9cf4e-5f33-f111-88b4-6045bde02116
ARMAGH,86cdc25a-5f33-f111-88b4-6045bde02116
Armed Forces,d7d9cf4e-5f33-f111-88b4-6045bde02116
Armed Forces,cbd9cf4e-5f33-f111-88b4-6045bde02116
Armed Forces,c7d9cf4e-5f33-f111-88b4-6045bde02116
ARMENIA,09cdc25a-5f33-f111-88b4-6045bde02116
ARUBA,10cdc25a-5f33-f111-88b4-6045bde02116
Arunachal Pradesh,d9d9cf4e-5f33-f111-88b4-6045bde02116
Assam,dfd9cf4e-5f33-f111-88b4-6045bde02116
Atlantico,5f85ca54-5f33-f111-88b4-6045bde02116
Atyrau Region,ac85ca54-5f33-f111-88b4-6045bde02116
AUSTRALIA,e2d9cf4e-5f33-f111-88b4-6045bde02116
AUSTRALIAN CAPITAL TERRITORY,cad9cf4e-5f33-f111-88b4-6045bde02116
AUSTRIA,0fcdc25a-5f33-f111-88b4-6045bde02116
Auvergne,e3d9cf4e-5f33-f111-88b4-6045bde02116
"AYRSHIRE, SCOTLAND",e4d9cf4e-5f33-f111-88b4-6045bde02116
AZERBAIJAN,12cdc25a-5f33-f111-88b4-6045bde02116
Baden-Württemberg,50cdc25a-5f33-f111-88b4-6045bde02116
BAHAMAS,24cdc25a-5f33-f111-88b4-6045bde02116
BAHRAIN,1ccdc25a-5f33-f111-88b4-6045bde02116
Baja California Norte,ebd9cf4e-5f33-f111-88b4-6045bde02116
Baja California Norte,2b15bb60-5f33-f111-88b4-6045bde02116
Baja California Sur,ecd9cf4e-5f33-f111-88b4-6045bde02116
BANFFSHIRE,87cdc25a-5f33-f111-88b4-6045bde02116
BANGLADESH,16cdc25a-5f33-f111-88b4-6045bde02116
BARBADOS,15cdc25a-5f33-f111-88b4-6045bde02116
Basel-Landschaft,2585ca54-5f33-f111-88b4-6045bde02116
Basel-Stadt,2485ca54-5f33-f111-88b4-6045bde02116
Basilicata,9acec25a-5f33-f111-88b4-6045bde02116
Basse-Normandie (Lower Normandy),f1d9cf4e-5f33-f111-88b4-6045bde02116
Bath,e8d9cf4e-5f33-f111-88b4-6045bde02116
Bavaria,48cdc25a-5f33-f111-88b4-6045bde02116
Baykonyr,bdccc25a-5f33-f111-88b4-6045bde02116
BEDFORDSHIRE,eed9cf4e-5f33-f111-88b4-6045bde02116
Beijing,4285ca54-5f33-f111-88b4-6045bde02116
BELARUS,28cdc25a-5f33-f111-88b4-6045bde02116
Belfast,fad9cf4e-5f33-f111-88b4-6045bde02116
BELIZE,29cdc25a-5f33-f111-88b4-6045bde02116
BENIN,1ecdc25a-5f33-f111-88b4-6045bde02116
Berkshire,f7d9cf4e-5f33-f111-88b4-6045bde02116
Berlin,4bcdc25a-5f33-f111-88b4-6045bde02116
BERMUDA,20cdc25a-5f33-f111-88b4-6045bde02116
Bern,1985ca54-5f33-f111-88b4-6045bde02116
BERWICKSHIRE,4acec25a-5f33-f111-88b4-6045bde02116
Berwickshire,d4cdc25a-5f33-f111-88b4-6045bde02116
BHUTAN,25cdc25a-5f33-f111-88b4-6045bde02116
Bihar,f6d9cf4e-5f33-f111-88b4-6045bde02116
Birmingham,e7d9cf4e-5f33-f111-88b4-6045bde02116
Blackburn,e9d9cf4e-5f33-f111-88b4-6045bde02116
Blackpool[1],4bdacf4e-5f33-f111-88b4-6045bde02116
BLAENAU GWENT,0ccec25a-5f33-f111-88b4-6045bde02116
Blaenau Gwent,adcdc25a-5f33-f111-88b4-6045bde02116
Bogota,6a85ca54-5f33-f111-88b4-6045bde02116
Bolivar,6085ca54-5f33-f111-88b4-6045bde02116
"BOLIVIA, PLURINATIONAL STATE OF",22cdc25a-5f33-f111-88b4-6045bde02116
Bolton,f0d9cf4e-5f33-f111-88b4-6045bde02116
BORDERS,ddcdc25a-5f33-f111-88b4-6045bde02116
BOSNIA AND HERZEGOVINA,14cdc25a-5f33-f111-88b4-6045bde02116
BOTSWANA,27cdc25a-5f33-f111-88b4-6045bde02116
Bourgogne (Burgundy),f3d9cf4e-5f33-f111-88b4-6045bde02116
Bournemouth,efd9cf4e-5f33-f111-88b4-6045bde02116
BOUVET ISLAND,26cdc25a-5f33-f111-88b4-6045bde02116
Boyaca,6185ca54-5f33-f111-88b4-6045bde02116
Bradford,edd9cf4e-5f33-f111-88b4-6045bde02116
Brandenburg,46cdc25a-5f33-f111-88b4-6045bde02116
BRAZIL,23cdc25a-5f33-f111-88b4-6045bde02116
Bremen,43cdc25a-5f33-f111-88b4-6045bde02116
Brest Region,a285ca54-5f33-f111-88b4-6045bde02116
Bretagne (Brittany),f4d9cf4e-5f33-f111-88b4-6045bde02116
BRIDGEND,f9cdc25a-5f33-f111-88b4-6045bde02116
Brighton,f2d9cf4e-5f33-f111-88b4-6045bde02116
Bristol,f9d9cf4e-5f33-f111-88b4-6045bde02116
British Columbia,ead9cf4e-5f33-f111-88b4-6045bde02116
BRITISH INDIAN OCEAN TERRITORY,88cec25a-5f33-f111-88b4-6045bde02116
Bromley,f5d9cf4e-5f33-f111-88b4-6045bde02116
BRUNEI DARUSSALAM,21cdc25a-5f33-f111-88b4-6045bde02116
BUCKINGHAMSHIRE,71cdc25a-5f33-f111-88b4-6045bde02116
Bukhara Region,c5ccc25a-5f33-f111-88b4-6045bde02116
BULGARIA,1bcdc25a-5f33-f111-88b4-6045bde02116
BURKINA FASO,18cdc25a-5f33-f111-88b4-6045bde02116
BURUNDI,1dcdc25a-5f33-f111-88b4-6045bde02116
CAERPHILLY,46cec25a-5f33-f111-88b4-6045bde02116
CAITHNESS,b6cdc25a-5f33-f111-88b4-6045bde02116
Calabria,9bcec25a-5f33-f111-88b4-6045bde02116
Caldas,6285ca54-5f33-f111-88b4-6045bde02116
California,fed9cf4e-5f33-f111-88b4-6045bde02116
CAMBERLEY,02dacf4e-5f33-f111-88b4-6045bde02116
CAMBERLEY,84cdc25a-5f33-f111-88b4-6045bde02116
CAMBODIA,afcec25a-5f33-f111-88b4-6045bde02116
Cambridge,07dacf4e-5f33-f111-88b4-6045bde02116
CAMEROON,33cdc25a-5f33-f111-88b4-6045bde02116
Campania,90cec25a-5f33-f111-88b4-6045bde02116
Campeche,01dacf4e-5f33-f111-88b4-6045bde02116
Campeche,4115bb60-5f33-f111-88b4-6045bde02116
Cantabria,03dacf4e-5f33-f111-88b4-6045bde02116
Canterbury,21dacf4e-5f33-f111-88b4-6045bde02116
CAPE VERDE,3ecdc25a-5f33-f111-88b4-6045bde02116
Caqueta,6385ca54-5f33-f111-88b4-6045bde02116
Cardiff,0adacf4e-5f33-f111-88b4-6045bde02116
Carlisle,fdd9cf4e-5f33-f111-88b4-6045bde02116
CARLOW,7fcec25a-5f33-f111-88b4-6045bde02116
CARMARTHENSHIRE,a9cdc25a-5f33-f111-88b4-6045bde02116
Casanare,6485ca54-5f33-f111-88b4-6045bde02116
Castilla La Mancha,00dacf4e-5f33-f111-88b4-6045bde02116
Castilla y Leon,ffd9cf4e-5f33-f111-88b4-6045bde02116
Cataluna,04dacf4e-5f33-f111-88b4-6045bde02116
Cauca,6585ca54-5f33-f111-88b4-6045bde02116
CAVAN,63cec25a-5f33-f111-88b4-6045bde02116
CAYMAN ISLANDS,bbcec25a-5f33-f111-88b4-6045bde02116
CENTRAL AFRICAN REPUBLIC,2dcdc25a-5f33-f111-88b4-6045bde02116
Central Federal District,7d85ca54-5f33-f111-88b4-6045bde02116
Centre,08dacf4e-5f33-f111-88b4-6045bde02116
CEREDIGION,f4cdc25a-5f33-f111-88b4-6045bde02116
Cesar,6685ca54-5f33-f111-88b4-6045bde02116
Ceuta,09dacf4e-5f33-f111-88b4-6045bde02116
CHAD,8e15bb60-5f33-f111-88b4-6045bde02116
Champagne-Ardenne,fbd9cf4e-5f33-f111-88b4-6045bde02116
Chandigarth,0fdacf4e-5f33-f111-88b4-6045bde02116
Chelmsford,15dacf4e-5f33-f111-88b4-6045bde02116
Cherkasy Region,8685ca54-5f33-f111-88b4-6045bde02116
Chernihiv Region,8785ca54-5f33-f111-88b4-6045bde02116
Chernivtsi Region,8885ca54-5f33-f111-88b4-6045bde02116
CHESHIRE,0edacf4e-5f33-f111-88b4-6045bde02116
Chhattisgarh,0cdacf4e-5f33-f111-88b4-6045bde02116
Chiapas,1c15bb60-5f33-f111-88b4-6045bde02116
Chiapas,11dacf4e-5f33-f111-88b4-6045bde02116
Chihuahua,2915bb60-5f33-f111-88b4-6045bde02116
Chihuahua,10dacf4e-5f33-f111-88b4-6045bde02116
CHILE,32cdc25a-5f33-f111-88b4-6045bde02116
CHINA,39cdc25a-5f33-f111-88b4-6045bde02116
Choco,6785ca54-5f33-f111-88b4-6045bde02116
Chongqing,5785ca54-5f33-f111-88b4-6045bde02116
CHRISTMAS ISLAND,3fcdc25a-5f33-f111-88b4-6045bde02116
CLACKMANNANSHIRE,b0cdc25a-5f33-f111-88b4-6045bde02116
CLARE,7ccec25a-5f33-f111-88b4-6045bde02116
CLEVELAND,92cdc25a-5f33-f111-88b4-6045bde02116
Cleveland[1],eb84ca54-5f33-f111-88b4-6045bde02116
CLWYD,12dacf4e-5f33-f111-88b4-6045bde02116
Co Dublin,1bdacf4e-5f33-f111-88b4-6045bde02116
Coahuila,3c15bb60-5f33-f111-88b4-6045bde02116
Coahuila de Zaragoza,2e15bb60-5f33-f111-88b4-6045bde02116
Coahuila de Zaragoza,1edacf4e-5f33-f111-88b4-6045bde02116
COCOS (KEELING) ISLANDS,2bcdc25a-5f33-f111-88b4-6045bde02116
Colchester,19dacf4e-5f33-f111-88b4-6045bde02116
Colima,1fdacf4e-5f33-f111-88b4-6045bde02116
COLOMBIA,17dacf4e-5f33-f111-88b4-6045bde02116
Colorado,1adacf4e-5f33-f111-88b4-6045bde02116
COMOROS,b2cec25a-5f33-f111-88b4-6045bde02116
Comunidad de Madrid,16dacf4e-5f33-f111-88b4-6045bde02116
Comunidad Foral de Navarra,0bdacf4e-5f33-f111-88b4-6045bde02116
Comunidad Valenciana,24dacf4e-5f33-f111-88b4-6045bde02116
CONGO,2ecdc25a-5f33-f111-88b4-6045bde02116
Connecticut,22dacf4e-5f33-f111-88b4-6045bde02116
CONWAY,a5cdc25a-5f33-f111-88b4-6045bde02116
COOK ISLANDS,30cdc25a-5f33-f111-88b4-6045bde02116
Cordoba,6885ca54-5f33-f111-88b4-6045bde02116
CORK,73cec25a-5f33-f111-88b4-6045bde02116
CORNWALL,9ccdc25a-5f33-f111-88b4-6045bde02116
Corse (Corsica),18dacf4e-5f33-f111-88b4-6045bde02116
COSTA RICA,3ccdc25a-5f33-f111-88b4-6045bde02116
CÔTE D'IVOIRE,2fcdc25a-5f33-f111-88b4-6045bde02116
County Cavan,05dacf4e-5f33-f111-88b4-6045bde02116
County Clare,40dacf4e-5f33-f111-88b4-6045bde02116
County Durham,b7cdc25a-5f33-f111-88b4-6045bde02116
COUNTY DURHAM,6dcdc25a-5f33-f111-88b4-6045bde02116
COUNTY LOUTH,1cdacf4e-5f33-f111-88b4-6045bde02116
COUNTY TYRONE,11cec25a-5f33-f111-88b4-6045bde02116
COUNTY WESTMEATH,1ddacf4e-5f33-f111-88b4-6045bde02116
Coventry,23dacf4e-5f33-f111-88b4-6045bde02116
Crewe,25dacf4e-5f33-f111-88b4-6045bde02116
CROATIA,5ccec25a-5f33-f111-88b4-6045bde02116
Croydon,20dacf4e-5f33-f111-88b4-6045bde02116
CUBA,3dcdc25a-5f33-f111-88b4-6045bde02116
CUMBRIA,9dcdc25a-5f33-f111-88b4-6045bde02116
Cundinamarca,6985ca54-5f33-f111-88b4-6045bde02116
